Station Code,Name Of Monitoring Location,State Name,Temperature (oC) Unnamed: 3_level_1,Temperature (oC) Unnamed: 4_level_1,Dissolved Oxygen (mg/L) > 5.0 mg/ L,Dissolved Oxygen (mg/L) > 5.0 mg/ L.1,pH 6.5 - 8.5,pH 6.5 - 8.5.1,Conductivity (µmhos/cm) Unnamed: 9_level_1,Conductivity (µmhos/cm) Unnamed: 10_level_1,Bio-Chemical Oxygen Demand (mg/L) < 3.0 mg/ L,Bio-Chemical Oxygen Demand (mg/L) < 3.0 mg/ L.1,Nitrate (mg/L) Unnamed: 13_level_1,Nitrate (mg/L) Unnamed: 14_level_1,"Fecal Coliform (MPN/100mL) < 2500 MPN
/ 100 mL","Fecal Coliform (MPN/100mL) < 2500 MPN
/ 100 mL.1",Total Coliform (MPN/100mL) Unnamed: 17_level_1,Total Coliform (MPN/100mL) Unnamed: 18_level_1,"Fecal Streptococci (MPN/100mL) < 500 MPN
/ 100 mL","Fecal Streptococci (MPN/100mL) < 500 MPN
/ 100 mL.1",Temperature AVG,Dissolved Oxygen AVG,pH 6.5 - 8.5 AVG,Conductivity AVG,Bio-Chemical Oxygen Demand AVG,Nitrate AVG,Fecal Coliform AVG,Total Coliform AVG,Fecal Streptococci AVG
30087.0,"RIVER     SUTLEJ     U/S    AT OLINDA,    NEAR    BHAKRA DAM, H.P.",HIMACHAL PRADESH,18.0,21.0,8.5,10.7,8.0,8.3,218.0,249.0,3.0,3.0,0.32,0.42,220.0,3300.0,700.0,17000.0,22.0,22.0,19.5,9.6,8.15,233.5,3.0,0.37,1760.0,8850.0,22.0
30088.0,"RIVER SUTLEJ D/S OLINDA, NEAR BHAKRA DAM, H.P.",HIMACHAL PRADESH,18.0,21.0,8.4,10.1,8.1,8.3,216.0,243.0,1.3,1.5,0.32,0.42,2.0,680.0,430.0,3300.0,8.0,8.0,19.5,9.25,8.2,229.5,1.4,0.37,341.0,1865.0,8.0
30010.0,RIVER           SUTLEJ           AT NOORPUR      BEDI      ROAD (PUNJAB),PUNJAB,18.0,26.0,8.6,9.2,7.7,8.0,237.0,273.0,2.6562455892731127,6.435890218156228,0.42,0.92,110.0,2300.0,700.0,14000.0,130.0,130.0,22.0,8.899999999999999,7.85,255.0,,0.67,1205.0,7350.0,130.0
1814.0,"RIVER     SUTLEJ     AT     D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,11.0,25.0,8.0,10.6,7.6,8.5,214.0,321.0,2.6562455892731127,6.435890218156228,1.2,1.8,92.0,250.0,410.0,790.0,217.50874751491057,914.7807157057653,18.0,9.3,8.05,267.5,,1.5,171.0,600.0,
2915.0,"RIVER  SUTLEJ  AT  100  MT. D/S    OF    PACL,    NANGAL, PUNJAB",PUNJAB,11.0,22.0,8.3,10.7,7.3,8.4,216.0,272.0,2.6562455892731127,6.435890218156228,1.3,1.7,20.0,140.0,140.0,390.0,217.50874751491057,914.7807157057653,16.5,9.5,7.85,244.0,,1.5,80.0,265.0,
1380.0,"RIVER SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,10.0,22.0,8.4,10.8,7.5,8.4,217.0,270.0,2.6562455892731127,6.435890218156228,1.4,1.7,20.0,100.0,170.0,380.0,217.50874751491057,914.7807157057653,16.0,9.600000000000001,7.95,243.5,,1.5499999999999998,60.0,275.0,
10020.0,RIVER           SUTLEJ           AT ANANDPUR SAHIB,PUNJAB,12.0,27.0,7.8,10.0,7.4,8.5,235.0,388.0,2.6562455892731127,6.435890218156228,1.3,2.1,78.0,210.0,330.0,580.0,217.50874751491057,914.7807157057653,19.5,8.9,7.95,311.5,,1.7000000000000002,144.0,455.0,
10021.0,RIVER  SUTLEJ  AT  BUNGA SAHIB,PUNJAB,10.0,28.190426229508198,5.738307493540052,11.1,7.4,8.4,217.0,277.0,2.6562455892731127,6.435890218156228,1.3,1.7,130.0,260.0,460.0,790.0,217.50874751491057,914.7807157057653,,,7.9,247.0,,1.5,195.0,625.0,
10022.0,RIVER           SUTLEJ           AT PHILLAUR U/S,PUNJAB,13.0,32.0,5.6,8.0,7.2,8.3,238.0,522.0,1.6,4.0,0.8467035175879397,1.4,260.0,2200.0,700.0,4900.0,217.50874751491057,914.7807157057653,22.5,6.8,7.75,380.0,2.8,,1230.0,2800.0,
10023.0,RIVER           SUTLEJ           AT PHAGWARA                      U/S (CHAHERU BRIDGE),PUNJAB,10.0,33.0,2.9,5.8,7.2,8.3,610.0,858.0,8.0,17.0,0.4,2.1,320.0,2100.0,1500.0,6300.0,217.50874751491057,914.7807157057653,21.5,4.35,7.75,734.0,12.5,1.25,1210.0,3900.0,
10024.0,"RIVER           SUTLEJ           AT PHAGWARA                      D/S
(KANGANIWAL BRIDGE)",PUNJAB,10.0,36.0,1.0,1.4,7.1,8.4,574.0,1265.0,11.0,26.0,0.4,2.4,2100.0,7800.0,6300.0,21000.0,217.50874751491057,914.7807157057653,23.0,1.2,7.75,919.5,18.5,1.4,4950.0,13650.0,
10027.0,RIVER           SUTLEJ           AT LUDHIANA U/S,PUNJAB,12.0,29.0,7.1,9.2,7.8,8.5,258.0,336.0,1.2,1.2,1.3,2.4,330.0,1400.0,940.0,3400.0,217.50874751491057,914.7807157057653,20.5,8.149999999999999,8.15,297.0,1.2,1.85,865.0,2170.0,
10028.0,RIVER           SUTLEJ           AT LUDHIANA D/S,PUNJAB,11.0,31.0,1.0,7.0,7.2,8.0,294.0,1150.0,1.6,39.0,1.4,3.1,33000.0,40654.51528089888,94000.0,126361.17211328977,217.50874751491057,914.7807157057653,21.0,4.0,7.6,722.0,20.3,2.25,,,
1017.0,"RIVER   SUTLEJ   AT   100M
U/S       OF      HEADWORKS, NANGAL",PUNJAB,9.0,21.0,7.2,9.1,7.7,8.2,200.0,241.0,2.6562455892731127,6.435890218156228,1.2,1.8,18.0,130.0,110.0,270.0,217.50874751491057,914.7807157057653,15.0,8.15,7.949999999999999,220.5,,1.5,74.0,190.0,
1018.0,"RIVER   SUTLEJ   AT   100M D/S , NANGAL",PUNJAB,10.0,26.0,7.6,10.5,7.5,8.5,221.0,307.0,2.6562455892731127,6.435890218156228,1.2,1.7,11.0,110.0,170.0,470.0,217.50874751491057,914.7807157057653,18.0,9.05,8.0,264.0,,1.45,60.5,320.0,
1293.0,"RIVER   SUTLEJ   AT   1   KM.
D/S OF ZENITH, PUNJAB",PUNJAB,10.0,26.0,7.3,9.4,7.6,8.3,229.0,478.0,2.6562455892731127,6.435890218156228,1.2,1.8,320.0,1300.0,840.0,3400.0,217.50874751491057,914.7807157057653,18.0,8.35,7.95,353.5,,1.5,810.0,2120.0,
1019.0,RIVER     SUTLEJ     AT     U/S HEAD WORKS ROPAR,PUNJAB,9.0,27.0,7.3,9.6,7.4,8.5,238.0,347.0,2.6562455892731127,6.435890218156228,1.3,1.9,250.0,930.0,580.0,3400.0,217.50874751491057,914.7807157057653,18.0,8.45,7.95,292.5,,1.6,590.0,1990.0,
1690.0,"RIVER     SUTLEJ     AT     U/S BUDHA  NALLAH  (UPPER), PUNJAB",PUNJAB,9.0,30.0,6.2,8.0,7.4,8.2,254.0,438.0,1.1,1.4,1.6,2.6,400.0,1700.0,1000.0,4300.0,217.50874751491057,914.7807157057653,19.5,7.1,7.8,346.0,1.25,2.1,1050.0,2650.0,
1020.0,"RIVER   SUTLEJ   AT   100M D/S  BUDHA  NALA  CONFL., LUDHIANA",PUNJAB,10.0,32.0,1.1,6.0,7.2,7.7,332.0,1302.0,2.6,140.0,1.6,3.4,70000.0,40654.51528089888,5490.1059377262845,126361.17211328977,217.50874751491057,914.7807157057653,21.0,3.55,7.45,817.0,71.3,2.5,,,
